 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.1600  21.0000   0.1921   3.0383  0.41991E+02  0.41990E+02  0.10691E-02  0.53027E+02  0.63712E-01  0.23579E+01  0.50606E+02  0.10014E+01
   10.5890   2.1700  21.0000   0.1932   3.0524  0.41808E+02  0.41807E+02  0.10731E-02  0.52660E+02  0.60781E-01  0.23037E+01  0.50296E+02  0.10014E+01
   10.5890   2.1800  21.0000   0.1943   3.0665  0.41627E+02  0.41626E+02  0.10772E-02  0.52297E+02  0.57976E-01  0.22524E+01  0.49986E+02  0.10014E+01
   10.5890   2.1900  21.0000   0.1954   3.0805  0.41447E+02  0.41446E+02  0.10813E-02  0.51938E+02  0.55291E-01  0.22022E+01  0.49680E+02  0.10014E+01
   10.5890   2.2000  21.0000   0.1966   3.0946  0.41265E+02  0.41264E+02  0.10854E-02  0.51586E+02  0.52723E-01  0.21532E+01  0.49380E+02  0.10014E+01
   10.5890   2.2100  21.0000   0.1977   3.1087  0.41083E+02  0.41082E+02  0.10895E-02  0.51242E+02  0.50266E-01  0.21054E+01  0.49086E+02  0.10014E+01
   10.5890   2.2200  21.0000   0.1988   3.1227  0.40902E+02  0.40901E+02  0.10937E-02  0.50901E+02  0.47916E-01  0.20586E+01  0.48794E+02  0.10014E+01
   10.5890   2.2300  21.0000   0.2000   3.1368  0.40722E+02  0.40721E+02  0.10980E-02  0.50561E+02  0.45667E-01  0.20129E+01  0.48503E+02  0.10014E+01
   10.5890   2.2400  21.0000   0.2011   3.1509  0.40543E+02  0.40542E+02  0.11022E-02  0.50221E+02  0.43518E-01  0.19682E+01  0.48209E+02  0.10014E+01
   10.5890   2.2500  21.0000   0.2022   3.1649  0.40365E+02  0.40364E+02  0.11066E-02  0.49886E+02  0.41462E-01  0.19245E+01  0.47920E+02  0.10014E+01
   10.5890   2.2600  21.0000   0.2034   3.1790  0.40188E+02  0.40187E+02  0.11109E-02  0.49555E+02  0.39497E-01  0.18819E+01  0.47634E+02  0.10014E+01
   10.5890   2.2700  21.0000   0.2045   3.1931  0.40012E+02  0.40011E+02  0.11153E-02  0.49232E+02  0.37618E-01  0.18402E+01  0.47354E+02  0.10014E+01
   10.5890   2.2800  21.0000   0.2057   3.2071  0.39837E+02  0.39836E+02  0.11197E-02  0.48911E+02  0.35822E-01  0.17994E+01  0.47076E+02  0.10014E+01
   10.5890   2.2900  21.0000   0.2068   3.2212  0.39663E+02  0.39662E+02  0.11242E-02  0.48587E+02  0.34106E-01  0.17596E+01  0.46793E+02  0.10014E+01
   10.5890   2.3000  21.0000   0.2080   3.2353  0.39490E+02  0.39489E+02  0.11287E-02  0.48266E+02  0.32466E-01  0.17207E+01  0.46513E+02  0.10014E+01
   10.5890   2.3100  21.0000   0.2091   3.2493  0.39318E+02  0.39317E+02  0.11332E-02  0.47949E+02  0.30900E-01  0.16827E+01  0.46235E+02  0.10014E+01
