 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9000  12.5890   0.1023   1.4765  0.70238E+02  0.70237E+02  0.58233E-03  0.94629E+02  0.86621E+00  0.42769E+01  0.89486E+02  0.10000E+01
   10.5890   3.1000  15.5770   0.1716   2.4114  0.30842E+02  0.30842E+02  0.40818E-03  0.36259E+02  0.81090E-01  0.80501E+00  0.35373E+02  0.10000E+01
   10.5890   3.1000  19.1150   0.2576   3.6198  0.11756E+02  0.11756E+02  0.23037E-03  0.12763E+02  0.61839E-02  0.15538E+00  0.12602E+02  0.10000E+01
   10.5890   3.1000  20.5780   0.2981   4.1889  0.77320E+01  0.77318E+01  0.18581E-03  0.81897E+01  0.19258E-02  0.78740E-01  0.81090E+01  0.10000E+01
   10.5890   3.1000  21.9340   0.3382   4.7522  0.51903E+01  0.51901E+01  0.15446E-03  0.53773E+01  0.60583E-03  0.41922E-01  0.53348E+01  0.10000E+01
   10.5890   3.1000  23.2130   0.3782   5.3148  0.35291E+01  0.35289E+01  0.13166E-03  0.35873E+01  0.18695E-03  0.23102E-01  0.35640E+01  0.10000E+01
   10.5890   3.1000  24.4280   0.4182   5.8770  0.24174E+01  0.24172E+01  0.11487E-03  0.24062E+01  0.55632E-04  0.13128E-01  0.23930E+01  0.10000E+01
   10.5890   3.1000  25.5940   0.4584   6.4419  0.16516E+01  0.16515E+01  0.10243E-03  0.16128E+01  0.15872E-04  0.76453E-02  0.16052E+01  0.10000E+01
   10.5890   3.1000  26.7030   0.4982   7.0019  0.11228E+01  0.11227E+01  0.93440E-04  0.10769E+01  0.46639E-05  0.45849E-02  0.10723E+01  0.10000E+01
   10.5890   3.1000  27.7780   0.5383   7.5657  0.75160E+00  0.75151E+00  0.87065E-04  0.70847E+00  0.16181E-05  0.28015E-02  0.70567E+00  0.10000E+01
   10.5890   3.1000  29.9170   0.6225   8.7482  0.30772E+00  0.30764E+00  0.80764E-04  0.28015E+00  0.44609E-06  0.10786E-02  0.27907E+00  0.10000E+01
   10.5890   3.1000  31.7320   0.6983   9.8138  0.12790E+00  0.12782E+00  0.82730E-04  0.11306E+00  0.19406E-06  0.51198E-03  0.11255E+00  0.10000E+01
   10.5890   3.1000  33.5620   0.7788  10.9449  0.45264E-01  0.45169E-01  0.94538E-04  0.38825E-01  0.67778E-07  0.27856E-03  0.38546E-01  0.10000E+01
   10.5890   2.9000  36.1200   0.8182  11.8052  0.21197E-01  0.21116E-01  0.81123E-04  0.18152E-01  0.34982E-07  0.18926E-03  0.17962E-01  0.10000E+01
